ROI	X	Y	Z
Bjork04_Left_VS	49	69	34
Bjork04_Right_VS	39	70	34
Bjork04_mPFC	44	92	34
May04_Left_lOFC	67	83	31
May04_mOFC	46	88	32
May04_Left_VS	50	67	31
Ernst05_Right_NAcc	40	65	33
Ernst05_Left_NAcc	51	69	33
Ernst05_Right_Amygdala	35	62	29
Ernst05_Left_Amygdala	52	61	32
Galvan06_Right_VS	42	67	33
Galvan06_Left_VS	49	67	33
Galvan06_Right_OFC	21	80	35
vanLeijen10_Right_Insula	30	76	36
vanLeijen10_Right_Insula	30	70	29
vanLeijen10_Left_NAcc	49	67	35
vanLeijen10_Right_ACCg	44	78	43
Geier10_Right_VS	38	66	30
Bjork08_Left_VS	50	68	32
Bjork08_Right_VS	41	70	33
Bjork08_mPFC	44	88	34
Benning14_Left_Caudate	47	71	37
Nees12_Right_Amygdala	36	63	29
Nees12_Left_Insula	60	53	41
Nees12_Right_VS	40	68	36
Nees12_dACC	43	84	42
Braams16_Right_Putamen	38	68	34
Braams16_Left_Caudate	49	70	34
Braams_16_Left_ACC	45	88	35
Galvan07_Right_VS	42	67	33
Galvan07_Left_VS	49	67	33
Galvan07_Right_OFC	21	80	35
Galvan07_Right_dlPFC	23	79	49
Galvan07_vmPFC	44	81	35
Galvan07_ACC	42	77	54
Kahn15_Right_VS	44	66	37
Kahn15_Right_vlPFC	23	78	40
Cservenka15_Right_VS	39	60	29
Cservenka15_Left_VS	51	59	32
Pfeifer11_Left_VS	48	71	36
Pfeifer11_vmPFC	49	90	33
QuGalvan15_Left_vlPFC	58	92	32
QuGalvan15_Right_vlPFC	30	91	41
QuGalvan15_Left_dlPFC	61	83	55
QuGalvan15_Right_dlPFC	61	83	55
QuGalvan15_Left_VS	49	67	35
QuGalvan15_Right_VS	38	68	32
QuGalvan15_Left_Insula	63	68	36
QuGalvan15_Right_Insula	29	73	38
QuGalvan15_ACC	48	67	50
Eshel07_Left_vlPFC	64	74	38
Eshel07_Right_vlPFC	19	75	34
Eshel07_Right_ACC	44	81	46
Eshel07_Left_dlPFC	58	75	59
vanLeijenCrone10_dmPFC	51	88	45
vanLeijenCrone10_vmPFC	48	93	33
vanLeijenCrone10_Right_dlPFC	26	75	54
vanLeijenCrone10_mPFC	46	85	33
vanLeijenCrone10_Left_NAcc	49	67	32
McCormick17_dACC	48	73	51
McCormick17_Left_Insula	67	68	34
McCormick17_Right_Insula	18	68	35
McCormick17_Left_VS	55	70	34
McCormick17_Right_VS	35	68	35
TelzerGalvan15_Left_Insula	57	75	34
TelzerGalvan15_Right_Insula	26	73	36
TelzerGalvan15_Left_VS	50	65	31
Cascio15_BG	50	73	40
Cascio15_vmPFC	43	89	26
Cascio15_Left_Putamen	55	73	38
Cascio15_Left_Caudate	51	73	39
Chung15_Left_vlPFC	69	81	34
Chung15_Right_vlPFC	21	81	33
