	 dpk16ahr200433_04570	Resting	run_01	uprun_01.nii	Bad	Fri Oct 12 10:40:10 EDT 2018	chriswag	n
	 dpk16ahr200448_03981	 Anatomy	t1spgr_208sl	ht1spgr_208sl.nii\Bad	Fri Oct 12 10:53:23 EDT 2018	chriswag	On the sagittal cut at X105 Y202 Z104 looks strange
	 dpk16ahr200448_03981	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr200858_04552	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr201609_03870	 Anatomy	t1spgr_208sl	ht1spgr_208sl.nii\Bad	Fri Oct 12 10:53:23 EDT 2018	chriswag	The cerebellum on the sagittal cut looks strange
	 dpk16ahr201609_03870	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202040_04037	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202040_04037	Resting	run_01	uprun_01.nii	Bad	Fri Oct 12 10:53:23 EDT 2018	chriswag	A little bit of blow out in the frontal lobe
	 dpk16ahr202075_03798	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202075_03798	Resting	run_01	uprun_01.nii	Bad	Fri Oct 12 10:53:23 EDT 2018	chriswag	Little bit of frontal lobe blow out X47 Y68 Z30
	 dpk16ahr202076_04441	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202076_04441	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202145_04271	 Anatomy	t1spgr_208sl	ht1spgr_208sl.nii\Bad	Fri Oct 12 10:53:23 EDT 2018	chriswag	In the sagittal cut it looks strange at X162 Y191 Z104 and X137 Y198 Z103. It looks like it could just be obstruction from the skull maybe
	 dpk16ahr202145_04271	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202179_04049	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202179_04049	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202197_04247	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202246_04766	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202246_04766	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202252_04663	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202252_04663	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202281_04105	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202281_04105	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202284_04540	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202284_04540	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202356_04157	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202356_04157	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202357_04590	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202357_04590	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202363_05023	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202363_05023	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202373_04451	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202373_04451	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202383_04209	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202383_04209	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202467_04187	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202467_04187	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202492_04517	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202492_04517	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202500_05057	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202500_05057	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202504_04081	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202504_04081	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202527_04216	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202527_04216	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202546_04118	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202546_04118	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
