#MIDSubject,Subject,Run,Condition.Type,Condition,SubTrial,Cue.OnsetTime,Cue.Duration,Anticipation.OnsetTime,Anticipation.Duration,Probe.OnsetTime,Probe.Duration,Feedback.OnsetTime,Feedback.Duration,Probe.RESP,Result,TriggerTime,Cue+Response,Cue,Anticipation.Model.onset,Anticipation.Model.Duration,default
202467,dpk16ahr202467_04187,1,4,SmallPun,1,0.03,2,1.997,2,3.997,0.313,4.38,1.65,2,You keep $0.20!,51132,9,14,0.03,4,1
202467,dpk16ahr202467_04187,1,1,LgReward,2,6.013,2,7.996,4,11.995,0.313,12.379,1.65,2,You earn $5!,51132,6,11,6.013,6,1
202467,dpk16ahr202467_04187,1,4,SmallPun,3,14.012,2,15.995,3,18.994,0.313,19.378,1.65,NA,You lose $0.20!,51132,4,14,14.012,5,1
202467,dpk16ahr202467_04187,1,2,SmallReward,4,21.011,2,22.994,2,24.994,0.293,25.36,1.65,NA,You did not earn $0.20!,51132,2,12,21.011,4,1
202467,dpk16ahr202467_04187,1,5,LgPun,5,27.01,2,28.993,2,30.993,0.293,31.359,1.65,NA,You lose $5!,51132,5,15,27.01,4,1
202467,dpk16ahr202467_04187,1,3,Triangle,6,33.009,2,34.992,2.5,37.492,0.293,37.858,1.65,NA,No money at stake!,51132,3,13,33.009,4.5,1
202467,dpk16ahr202467_04187,1,2,SmallReward,7,39.508,2,41.491,2.5,43.991,0.293,44.358,1.65,2,You earn $0.20!,51132,7,12,39.508,4.5,1
202467,dpk16ahr202467_04187,1,2,SmallReward,8,46.007,2,47.99,1.5,49.49,0.313,49.873,1.65,NA,You did not earn $0.20!,51132,2,12,46.007,3.5,1
202467,dpk16ahr202467_04187,1,1,LgReward,9,51.506,2,53.49,1.5,54.989,0.313,55.373,1.65,2,You earn $5!,51132,6,11,51.506,3.5,1
202467,dpk16ahr202467_04187,1,4,SmallPun,10,57.006,2,58.989,2,60.988,0.313,61.372,1.65,2,You keep $0.20!,51132,9,14,57.006,4,1
202467,dpk16ahr202467_04187,1,1,LgReward,11,63.005,2,64.988,2.5,67.488,0.333,67.888,1.65,2,You earn $5!,51132,6,11,63.005,4.5,1
